what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946663829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946667807
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460946667854
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460946667885
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460946694951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460946708024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946740503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946754527
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1460946754637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460946772545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946791843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946793933
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1460946794011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946803589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946808347
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1460946808441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946824462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946832184
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1460946832247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460946835913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460946856302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460946859016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946976344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946978793
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1460946978840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946983021
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946984113
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1460946984144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946987888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946988840
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1460946988871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946993177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460946994846
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1460946994877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1460947018511
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460947035390
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1460947050179
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1460947051677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947080396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947111206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460947112642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1460947124950
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1460947125012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460947125839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947155776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947158958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947249048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1460947274507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1460947282619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460947288407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460947295224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460947297502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460947301121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1460947304928
